iter	Passed	Remaining
0	198	198458
1	249	124308
2	313	104226
3	372	92768
4	447	88998
5	489	81162
6	544	77280
7	593	73587
8	643	70854
9	693	68639
10	745	67004
11	797	65695
12	847	64360
13	898	63264
14	950	62387
15	1001	61614
16	1058	61213
17	1113	60766
18	1159	59862
19	1214	59491
20	1265	59008
21	1315	58479
22	1367	58083
23	1417	57641
24	1468	57259
25	1517	56857
26	1570	56590
27	1622	56334
28	1675	56086
29	1724	55745
30	1783	55752
31	1853	56066
32	1905	55830
33	1952	55467
34	2008	55378
35	2059	55139
36	2113	55011
37	2171	54962
38	2225	54832
39	2287	54905
40	2365	55340
41	2426	55337
42	2480	55211
43	2532	55016
44	2586	54887
45	2647	54901
46	2697	54689
47	2759	54726
48	2811	54557
49	2864	54417
50	2922	54385
51	2988	54476
52	3047	54452
53	3102	54343
54	3172	54512
55	3225	54369
56	3279	54251
57	3328	54056
58	3377	53874
59	3424	53653
60	3472	53452
61	3532	53440
62	3581	53273
63	3632	53123
64	3681	52962
65	3730	52785
66	3809	53047
67	3860	52909
68	3910	52764
69	3959	52602
70	4007	52430
71	4067	52431
72	4124	52371
73	4172	52213
74	4221	52064
75	4270	51923
76	4318	51767
77	4367	51629
78	4416	51483
79	4472	51438
80	4543	51544
81	4588	51372
82	4636	51225
83	4688	51125
84	4735	50971
85	4785	50858
86	4854	50946
87	4903	50818
88	4955	50725
89	5003	50591
90	5052	50471
91	5111	50443
92	5157	50303
93	5208	50196
94	5254	50051
95	5303	49942
96	5365	49951
97	5415	49840
98	5464	49732
99	5490	49413
100	5538	49294
101	5597	49279
102	5663	49322
103	5714	49229
104	5731	48852
105	5778	48736
106	5835	48703
107	5860	48400
108	5907	48290
109	5939	48055
110	5987	47951
111	6043	47915
112	6094	47841
113	6157	47859
114	6208	47776
115	6266	47753
116	6315	47660
117	6394	47796
118	6433	47630
119	6480	47520
120	6528	47427
121	6576	47329
122	6639	47338
123	6688	47251
124	6737	47165
125	6786	47072
126	6850	47090
127	6919	47141
128	6966	47036
129	7019	46979
130	7069	46896
131	7113	46774
132	7159	46671
133	7208	46588
134	7255	46488
135	7304	46406
136	7354	46330
137	7404	46253
138	7453	46166
139	7504	46099
140	7558	46050
141	7612	45995
142	7682	46038
143	7740	46011
144	7799	45987
145	7856	45952
146	7912	45911
147	7974	45907
148	8032	45878
149	8097	45883
150	8153	45840
151	8206	45783
152	8256	45709
153	8322	45720
154	8374	45652
155	8426	45587
156	8479	45532
157	8534	45479
158	8584	45404
159	8637	45345
160	8686	45267
161	8742	45221
162	8790	45137
163	8865	45192
164	8921	45147
165	8973	45081
166	9047	45130
167	9097	45054
168	9149	44989
169	9200	44920
170	9254	44863
171	9305	44797
172	9356	44725
173	9409	44665
174	9463	44612
175	9514	44545
176	9567	44485
177	9627	44461
178	9678	44393
179	9735	44351
180	9788	44290
181	9850	44272
182	9916	44272
183	9983	44274
184	10059	44314
185	10114	44262
186	10165	44197
187	10219	44139
188	10276	44095
