iter	Accuracy	Logloss
0	0.7867564534	0.6642778093
1	0.8035914703	0.6367760088
2	0.7923681257	0.6171149716
3	0.8058361392	0.5919842087
4	0.8024691358	0.5791132753
5	0.810325477	0.5596185992
6	0.8080808081	0.5430506375
7	0.8114478114	0.5324002754
8	0.8092031425	0.5166786091
9	0.8114478114	0.5082337941
10	0.810325477	0.5008028611
11	0.8114478114	0.4908119634
12	0.8181818182	0.4796725216
13	0.8159371493	0.4727555629
14	0.8237934905	0.4650681281
15	0.8204264871	0.4604930172
16	0.8148148148	0.4573968436
17	0.8114478114	0.4536143889
18	0.8125701459	0.4476222749
19	0.8260381594	0.4413670933
20	0.8294051627	0.435035591
21	0.8294051627	0.4310735443
22	0.8282828283	0.4249786558
23	0.8305274972	0.4211380615
24	0.8305274972	0.4183670346
25	0.8316498316	0.4168937885
26	0.8327721661	0.4137469013
27	0.8305274972	0.4109643634
28	0.8327721661	0.4068283306
29	0.8338945006	0.4033758423
30	0.8338945006	0.4010006888
31	0.8338945006	0.3995154002
32	0.8361391695	0.3954814234
33	0.8383838384	0.3942204058
34	0.8383838384	0.3932954942
35	0.8395061728	0.3921959407
36	0.8395061728	0.3906620106
37	0.8406285073	0.3883408766
38	0.8406285073	0.3876435807
39	0.8406285073	0.3840745534
40	0.8428731762	0.3830358946
41	0.8439955107	0.3822507993
42	0.8439955107	0.3813114548
43	0.8439955107	0.3806272101
44	0.8439955107	0.3806041133
45	0.847362514	0.3793777503
46	0.8451178451	0.3773304203
47	0.8451178451	0.3750717765
48	0.847362514	0.37447447
49	0.847362514	0.37371839
50	0.8439955107	0.3724769351
51	0.8439955107	0.3705424697
52	0.8439955107	0.3694444449
53	0.8451178451	0.3694352007
54	0.847362514	0.3689524486
55	0.8507295174	0.3677066261
56	0.8496071829	0.3668900764
57	0.8518518519	0.36578178
58	0.8507295174	0.3652286395
59	0.8507295174	0.3644315893
60	0.8518518519	0.363520348
61	0.8507295174	0.3628730934
62	0.8496071829	0.3619577497
63	0.8496071829	0.3612242668
64	0.8484848485	0.3611467971
65	0.8496071829	0.3605885707
66	0.8507295174	0.360042565
67	0.8518518519	0.3589945547
68	0.8540965208	0.3583258998
69	0.8540965208	0.3582324984
70	0.8552188552	0.3569986033
71	0.8563411897	0.3550761991
72	0.8563411897	0.3550478966
73	0.8563411897	0.3541289372
74	0.8529741863	0.3532264693
75	0.8529741863	0.3530289509
76	0.8563411897	0.3528662289
77	0.8585858586	0.3517145284
78	0.8585858586	0.3509324947
79	0.8574635241	0.3505820941
80	0.8574635241	0.3504645522
81	0.8585858586	0.349818376
82	0.8574635241	0.3489061853
83	0.8585858586	0.3488366539
84	0.8585858586	0.3477313729
85	0.8585858586	0.3475146721
86	0.859708193	0.3469370239
87	0.8608305275	0.3459032683
88	0.861952862	0.3456102571
89	0.8608305275	0.3455134743
90	0.8608305275	0.3454775621
91	0.8641975309	0.3439957671
92	0.8641975309	0.3435962567
93	0.8641975309	0.3435481959
94	0.8641975309	0.343146205
95	0.8641975309	0.3424523722
96	0.8653198653	0.342443488
97	0.8664421998	0.342330877
98	0.8653198653	0.3422938124
99	0.8675645342	0.3421922169
100	0.8675645342	0.3418807006
101	0.8675645342	0.3412824296
102	0.8653198653	0.3402557342
103	0.8675645342	0.3401930341
104	0.8675645342	0.3395837679
105	0.8675645342	0.3394754886
106	0.8675645342	0.3392026593
107	0.8675645342	0.3392026592
108	0.8709315376	0.3376705528
109	0.8709315376	0.3368677208
110	0.8709315376	0.3361245424
111	0.8709315376	0.3357287829
112	0.8720538721	0.3350886387
113	0.8709315376	0.3346466369
114	0.8709315376	0.334378971
115	0.8709315376	0.3342936039
116	0.8731762065	0.3336423969
117	0.8731762065	0.3330314598
118	0.874298541	0.3326376734
119	0.874298541	0.3322211861
120	0.874298541	0.3320165852
121	0.874298541	0.3315779215
122	0.874298541	0.3305443191
123	0.874298541	0.3302863766
124	0.874298541	0.3302507382
125	0.8720538721	0.3296242296
126	0.8731762065	0.3288953489
127	0.874298541	0.3284603947
128	0.8754208754	0.3276882231
129	0.8754208754	0.3276423128
130	0.8765432099	0.3268139137
131	0.8765432099	0.3262083115
132	0.8776655443	0.3255838644
133	0.8776655443	0.325136809
134	0.8776655443	0.3250512672
135	0.8776655443	0.3248794823
136	0.8776655443	0.324811069
137	0.8810325477	0.3237240193
138	0.8821548822	0.322946907
139	0.8832772166	0.3225153105
140	0.8843995511	0.322150266
141	0.8843995511	0.3220589269
142	0.8843995511	0.3209245834
143	0.8832772166	0.3206292882
144	0.8843995511	0.320244706
145	0.8855218855	0.3198092445
146	0.88664422	0.3191970876
147	0.88664422	0.3187057088
148	0.8855218855	0.3182873739
149	0.8855218855	0.3174157933
150	0.8855218855	0.3169360303
151	0.8855218855	0.3167724076
152	0.88664422	0.3158525499
153	0.8855218855	0.315347926
154	0.88664422	0.3150313407
155	0.8888888889	0.3143579863
156	0.8900112233	0.3134525104
157	0.8900112233	0.3133936662
158	0.8900112233	0.3129960468
159	0.8922558923	0.3121030918
160	0.8933782267	0.3116079909
161	0.8933782267	0.3111479363
162	0.8922558923	0.3102691267
163	0.8911335578	0.3097224791
164	0.8922558923	0.3092462447
165	0.8911335578	0.3087253727
166	0.8922558923	0.3084431499
167	0.8922558923	0.3083734675
168	0.8922558923	0.3082249172
169	0.8922558923	0.3082249003
170	0.8922558923	0.3075362893
171	0.8911335578	0.3069238952
172	0.8945005612	0.3064904232
173	0.8945005612	0.3062512445
174	0.8945005612	0.3058103818
175	0.8945005612	0.3057319323
176	0.8978675645	0.3049987314
177	0.8967452301	0.3049442272
178	0.8967452301	0.3045357817
179	0.8967452301	0.3038980184
180	0.8967452301	0.30363559
181	0.8967452301	0.3031860248
