iter	Passed	Remaining
0	20	20512
1	46	23401
2	68	22601
3	101	25212
4	124	24689
5	159	26399
6	194	27574
7	211	26192
8	244	26884
9	277	27448
10	299	26906
11	330	27199
12	365	27717
13	395	27828
14	430	28279
15	448	27574
16	462	26765
17	490	26743
18	515	26615
19	543	26640
20	567	26440
21	592	26359
22	617	26215
23	642	26117
24	666	26000
25	679	25448
26	704	25396
27	729	25336
28	764	25602
29	796	25760
30	823	25747
31	847	25624
32	871	25540
33	899	25546
34	923	25452
35	947	25370
36	972	25301
37	996	25237
38	1017	25060
39	1040	24982
40	1061	24818
41	1084	24734
42	1110	24714
43	1133	24638
44	1138	24172
45	1167	24211
46	1191	24151
47	1215	24114
48	1239	24061
49	1262	23990
50	1286	23941
51	1311	23908
52	1334	23852
53	1340	23476
54	1362	23416
55	1386	23378
56	1411	23347
57	1435	23311
58	1455	23213
59	1478	23167
60	1502	23129
61	1526	23098
62	1553	23105
63	1577	23070
64	1593	22919
65	1618	22907
66	1642	22877
67	1668	22866
68	1691	22827
69	1716	22805
70	1740	22777
71	1764	22737
72	1776	22560
73	1800	22535
74	1824	22503
75	1849	22486
76	1869	22412
77	1892	22374
78	1916	22339
79	1942	22336
80	1964	22286
81	1988	22261
82	2012	22231
83	2029	22127
84	2052	22096
85	2077	22076
86	2101	22052
87	2126	22041
88	2152	22031
89	2176	22007
90	2189	21868
91	2212	21838
92	2236	21814
93	2250	21693
94	2273	21661
95	2297	21634
96	2306	21468
97	2329	21443
98	2339	21287
99	2361	21253
100	2385	21233
101	2409	21212
102	2433	21189
103	2442	21043
104	2465	21019
105	2483	20947
106	2510	20953
107	2516	20781
108	2538	20751
109	2564	20747
110	2589	20736
111	2614	20729
112	2639	20722
113	2665	20716
114	2690	20707
115	2702	20598
116	2726	20574
117	2750	20556
118	2777	20559
119	2799	20532
120	2823	20514
121	2847	20494
122	2872	20483
123	2897	20467
124	2906	20343
125	2929	20319
126	2953	20300
127	2983	20323
128	3007	20303
129	3016	20184
130	3038	20156
131	3062	20139
132	3087	20123
133	3111	20106
134	3128	20047
135	3153	20036
136	3181	20043
137	3207	20032
138	3230	20011
139	3253	19987
140	3277	19965
141	3301	19947
142	3324	19926
143	3348	19903
144	3370	19876
145	3396	19866
146	3419	19839
147	3442	19816
148	3465	19794
149	3490	19781
150	3514	19761
151	3537	19737
152	3562	19722
153	3586	19703
154	3612	19693
155	3636	19676
156	3660	19652
157	3679	19609
158	3705	19597
159	3729	19577
160	3752	19552
161	3776	19537
162	3801	19519
163	3825	19499
164	3847	19472
165	3871	19450
166	3895	19428
167	3919	19410
168	3945	19399
169	3954	19308
170	3981	19301
171	4005	19283
172	4030	19267
173	4059	19269
174	4082	19246
175	4106	19226
176	4129	19202
177	4152	19178
178	4175	19151
179	4200	19134
180	4228	19131
181	4252	19113
182	4276	19092
183	4301	19076
184	4326	19057
185	4348	19031
186	4373	19015
187	4396	18990
188	4421	18972
189	4445	18951
190	4470	18936
191	4493	18910
192	4518	18891
193	4542	18872
194	4567	18854
195	4592	18839
196	4617	18819
197	4642	18805
198	4670	18798
199	4692	18770
200	4717	18753
201	4744	18741
202	4768	18722
203	4792	18701
204	4815	18674
205	4839	18651
206	4862	18628
207	4886	18606
208	4913	18594
209	4942	18593
210	4970	18585
211	4998	18579
212	5022	18558
213	5047	18537
214	5071	18517
215	5095	18493
216	5119	18471
217	5142	18447
218	5168	18432
219	5192	18409
220	5218	18395
221	5243	18375
222	5266	18351
223	5292	18334
224	5319	18322
225	5345	18308
226	5370	18287
227	5394	18267
228	5417	18240
229	5443	18224
230	5468	18204
231	5491	18180
232	5514	18154
233	5540	18136
234	5566	18119
235	5589	18093
236	5612	18069
237	5637	18050
238	5662	18030
239	5686	18008
240	5711	17987
241	5737	17970
242	5761	17949
243	5785	17926
244	5816	17924
245	5842	17908
246	5870	17895
247	5897	17882
248	5923	17865
249	5948	17846
250	5978	17838
251	6006	17827
252	6032	17812
253	6056	17787
254	6079	17762
255	6103	17737
256	6128	17716
257	6164	17728
258	6189	17706
259	6212	17680
260	6235	17654
261	6260	17634
262	6284	17612
263	6308	17587
264	6331	17561
265	6354	17535
266	6381	17518
267	6404	17493
268	6427	17465
269	6451	17442
270	6475	17419
271	6500	17397
272	6523	17371
273	6547	17347
274	6572	17327
275	6595	17302
276	6618	17275
277	6641	17249
278	6665	17224
279	6690	17204
280	6714	17179
281	6737	17155
282	6768	17148
283	6796	17135
284	6821	17114
285	6848	17096
286	6872	17073
287	6897	17051
288	6921	17027
289	6944	17001
290	6969	16980
291	6994	16958
292	7017	16933
293	7040	16907
294	7063	16881
295	7087	16856
296	7111	16832
297	7134	16807
298	7158	16782
299	7183	16762
300	7210	16743
301	7234	16719
302	7256	16691
303	7281	16670
304	7306	16649
305	7335	16637
306	7358	16611
307	7382	16585
308	7406	16563
309	7431	16542
310	7458	16522
311	7480	16495
312	7497	16456
313	7521	16432
314	7546	16410
315	7571	16389
316	7596	16366
317	7620	16344
318	7643	16316
319	7667	16293
320	7692	16270
321	7719	16254
322	7743	16230
323	7767	16206
324	7794	16188
325	7818	16164
326	7847	16150
327	7871	16126
328	7895	16103
329	7922	16085
330	7953	16075
331	7981	16058
332	8006	16037
333	8035	16022
334	8059	15999
335	8087	15981
336	8114	15964
337	8142	15946
338	8167	15925
339	8193	15904
340	8220	15886
341	8247	15868
342	8273	15848
343	8301	15831
344	8330	15815
345	8359	15800
346	8388	15786
347	8413	15764
348	8443	15749
349	8471	15733
350	8496	15710
351	8523	15691
352	8552	15675
353	8579	15656
354	8605	15635
355	8631	15614
356	8656	15591
357	8681	15569
358	8706	15545
359	8733	15525
360	8757	15501
361	8784	15481
362	8808	15457
363	8832	15431
364	8857	15408
365	8880	15382
366	8904	15359
367	8931	15339
368	8958	15318
369	8983	15296
370	9009	15274
371	9034	15252
372	9061	15231
373	9086	15209
374	9115	15193
375	9140	15169
376	9169	15152
377	9199	15137
378	9223	15112
379	9248	15090
380	9275	15069
381	9300	15046
382	9324	15022
383	9349	14998
384	9377	14979
385	9406	14962
386	9436	14947
387	9467	14933
388	9494	14912
389	9521	14891
390	9549	14874
391	9579	14857
392	9606	14837
393	9632	14815
394	9659	14794
395	9686	14774
396	9713	14753
397	9740	14733
398	9770	14716
399	9794	14692
400	9820	14669
401	9847	14648
